00_004200 sequences_00_000094
00_000400 sequences_00_000143
00_000200 sequences_00_000180
00_002200 sequences_00_000255
00_003200 sequences_00_000721
00_002800 sequences_00_000967
00_004000 sequences_00_001268
00_001000 sequences_00_001285
00_004400 sequences_00_001320
00_003800 sequences_00_001414
00_001400 sequences_00_001832
00_003600 sequences_00_001849
00_001200 sequences_00_001997
00_001800 sequences_00_002012
00_000600 sequences_00_002037
00_002600 sequences_00_002166
00_001600 sequences_00_002197
00_003400 sequences_00_002515
00_003000 sequences_00_002799
00_002400 sequences_00_003352
00_000800 sequences_00_004008
00_002000 sequences_00_004411
01_000200 sequences_01_000236
01_000400 sequences_01_000639
01_000800 sequences_01_000658
01_001000 sequences_01_000912
01_000600 sequences_01_001068
02_000400 sequences_02_000164
02_000200 sequences_02_000180
02_001000 sequences_02_000831
02_003600 sequences_02_000978
02_001400 sequences_02_001120
02_003400 sequences_02_001367
02_003800 sequences_02_001593
02_002800 sequences_02_001838
02_004200 sequences_02_002036
02_004400 sequences_02_002318
02_001600 sequences_02_002329
02_000800 sequences_02_002764
02_002000 sequences_02_002770
02_003200 sequences_02_002838
02_001200 sequences_02_003623
02_003000 sequences_02_003636
02_004600 sequences_02_003782
02_002400 sequences_02_003812
02_001800 sequences_02_004023
02_004000 sequences_02_004076
02_000600 sequences_02_004284
02_002600 sequences_02_004533
02_002200 sequences_02_004576
03_000400 sequences_03_000449
03_000600 sequences_03_000599
03_000800 sequences_03_000606
03_000200 sequences_03_000788
04_000200 sequences_04_000249
05_000400 sequences_05_000043
05_001800 sequences_05_000309
05_000600 sequences_05_000680
05_001400 sequences_05_000710
05_001200 sequences_05_000789
05_002000 sequences_05_000811
05_001600 sequences_05_001473
05_000800 sequences_05_002075
05_002400 sequences_05_002152
05_002600 sequences_05_002251
05_000200 sequences_05_002406
05_001000 sequences_05_002662
05_002200 sequences_05_002663
06_000200 sequences_06_000236
06_000400 sequences_06_000639
06_000800 sequences_06_000658
06_001000 sequences_06_000912
06_000600 sequences_06_001068
07_000200 sequences_07_000236
07_000400 sequences_07_000639
07_000800 sequences_07_000658
07_001000 sequences_07_000912
07_000600 sequences_07_001068
08_003800 sequences_08_000338
08_000600 sequences_08_000492
08_002200 sequences_08_000582
08_003000 sequences_08_000700
08_000200 sequences_08_001426
08_002800 sequences_08_002045
08_001800 sequences_08_002053
08_001600 sequences_08_002196
08_004000 sequences_08_002314
08_000800 sequences_08_002861
08_003600 sequences_08_002866
08_002400 sequences_08_003076
08_002000 sequences_08_003078
08_003400 sequences_08_003173
08_000400 sequences_08_003401
08_001200 sequences_08_003449
08_002600 sequences_08_003465
08_001000 sequences_08_003759
08_003200 sequences_08_003824
08_001400 sequences_08_003906
09_000800 sequences_09_000125
09_000200 sequences_09_000147
09_001200 sequences_09_000700
09_001400 sequences_09_000713
09_000400 sequences_09_001261
09_001000 sequences_09_001277
09_000600 sequences_09_001548
10_000800 sequences_10_000183
10_000600 sequences_10_000764
10_000400 sequences_10_000900
10_000200 sequences_10_000931
10_001200 sequences_10_000945
10_001000 sequences_10_001066
11_000600 sequences_11_000193
11_000200 sequences_11_000462
11_000400 sequences_11_000574
11_000800 sequences_11_000695
12_000600 sequences_12_000312
12_001000 sequences_12_000360
12_000200 sequences_12_000779
12_000400 sequences_12_000865
12_000800 sequences_12_000996
13_000400 sequences_13_000330
13_003000 sequences_13_000398
13_002800 sequences_13_000516
13_001400 sequences_13_000567
13_001600 sequences_13_001118
13_001800 sequences_13_001139
13_000600 sequences_13_001396
13_003200 sequences_13_001883
13_000200 sequences_13_002119
13_002200 sequences_13_002565
13_002400 sequences_13_002728
13_001000 sequences_13_002733
13_000800 sequences_13_002831
13_002000 sequences_13_002954
13_001200 sequences_13_003002
13_002600 sequences_13_003020
14_000400 sequences_14_000085
14_000200 sequences_14_000562
14_000600 sequences_14_000613
15_001600 sequences_15_000561
15_001000 sequences_15_000624
15_001800 sequences_15_000810
15_001400 sequences_15_001131
15_000600 sequences_15_001202
15_001200 sequences_15_001360
15_000200 sequences_15_001417
15_000400 sequences_15_001419
15_000800 sequences_15_001570
16_000400 sequences_16_000195
16_001200 sequences_16_000435
16_000600 sequences_16_000497
16_001000 sequences_16_000520
16_000200 sequences_16_000698
16_001400 sequences_16_001148
16_001600 sequences_16_001169
16_000800 sequences_16_001577
17_000200 sequences_17_000025
17_000400 sequences_17_000480
18_000800 sequences_18_000099
18_000400 sequences_18_000155
18_001000 sequences_18_000196
18_000200 sequences_18_000556
18_001400 sequences_18_001208
18_000600 sequences_18_001247
18_001600 sequences_18_001282
18_001200 sequences_18_001314
18_001800 sequences_18_001437
19_003600 sequences_19_000233
19_004600 sequences_19_000457
19_003200 sequences_19_001225
19_000600 sequences_19_001357
19_002400 sequences_19_001629
19_002600 sequences_19_001667
19_004200 sequences_19_001875
19_000200 sequences_19_002264
19_002800 sequences_19_002282
19_004000 sequences_19_002509
19_001000 sequences_19_002535
19_001600 sequences_19_002619
19_001400 sequences_19_002771
19_004800 sequences_19_003215
19_002000 sequences_19_003297
19_000400 sequences_19_003804
19_001800 sequences_19_003829
19_002200 sequences_19_003871
19_004400 sequences_19_003883
19_003800 sequences_19_003918
19_000800 sequences_19_003949
19_003000 sequences_19_004582
19_003400 sequences_19_004844
19_001200 sequences_19_004879
20_000200 sequences_20_000004
20_000800 sequences_20_000045
20_000600 sequences_20_000489
20_000400 sequences_20_000575
21_000600 sequences_21_000229
21_002600 sequences_21_000296
21_000800 sequences_21_000640
21_000400 sequences_21_000781
21_000200 sequences_21_000847
21_001600 sequences_21_001025
21_002000 sequences_21_001128
21_001000 sequences_21_001355
21_002400 sequences_21_001690
21_001800 sequences_21_001823
21_001200 sequences_21_001885
21_002200 sequences_21_002192
21_001400 sequences_21_002230
